,order_id,score,error
211,236415293530329088,722.2,
1197,236544729080676352,722.1,
1500,236902825904840704,721.89,
629,236507097365749760,721.45,
1251,236827467327225856,721.3,
1347,236603479615344640,721.28,
436,236420310496710656,720.8,
1270,236423823326973952,720.77,
199,236855573442203648,720.5,
703,236419617308299264,720.45,
362,236779255186874368,720.24,
926,236523047989297152,720.2,
1356,236787553990619136,720.18,
1420,236416610776662016,720.08,
699,236777269758537728,720.06,
1726,236860334216318976,720.05,
1151,236935898721689600,720.02,
653,236459057401585664,719.89,
478,236942818488631296,719.69,
1110,236981269820878848,719.68,
1250,236858819422478336,719.6,
680,236884660965621760,719.5,
341,236507240701902848,719.28,
1720,236920257985925120,719.27,
980,236793694095163392,719.18,
50,236775557526212608,719.15,
1554,236501517775429632,719.07,
1248,236384765213167616,719.02,
688,236977512533999616,718.86,
1472,236967956978360320,718.62,
945,236538071776505856,718.61,
690,236503251436445696,718.28,
84,236950544308514816,718.25,
1392,236308373993697280,718.21,
1199,236449304784936960,717.9,
25,236440270946193408,717.69,
150,236846186141081600,717.67,
1134,236789877236576256,717.4,
73,236425082939387904,717.39,
1129,236933366322569216,717.28,
1414,236520627599060992,717.25,
1362,236885450623041536,717.25,
493,236818613222780928,717.23,
927,236782520075030528,717.19,
694,236484202006581248,717.13,
1246,236487191664537600,717.04,
244,236968796350844928,716.96,
1269,236918337607057408,716.81,
30,236376981901950976,716.66,
1327,236830475746304000,716.62,
1245,236426658391281664,716.58,
1397,236802191708938240,716.39,
1068,236475083648409600,716.32,
1309,236417122855043072,716.29,
844,236759448622206976,716.28,
1712,236413666115203072,716.22,
857,236476480204849152,716.19,
1328,236424145520824320,716.16,
1679,236386147957751808,716.13,
306,236867060785238016,716.09,
695,236501413953802240,715.92,
248,236579010507182080,715.66,
750,236862387252629504,715.59,
1721,236987509791793152,715.37,
1490,236886865483423744,715.29,
571,236452605320519680,715.19,
1030,236791157954711552,715.15,
1538,236840159228211200,715.15,
760,236756614606491648,715.12,
924,236414846476238848,714.85,
124,236420632023674880,714.73,
1259,236445921562869760,714.71,
1662,236483305264390144,714.57,
333,236645834879938560,714.56,
1461,236815003390857216,714.42,
1162,236436729884069888,714.36,
503,236919726580187136,714.33,
1529,236986278868443136,714.28,
1190,236647092206456832,714.28,
1660,236498130346455040,714.13,
1685,236795231227887616,713.97,
1404,236424697424130048,713.79,
17,236620065042608128,713.75,
252,236635680935526400,713.73,
170,236456183443509248,713.71,
786,236478847851712512,713.65,
697,236537166234660864,713.49,
1173,236781301843644416,713.2,
1465,236462909559410688,713.15,
739,236493093146726400,713.14,
623,236553339139534848,713.05,
356,236433698882850816,712.9,
1078,236940560694779904,712.61,
1369,236904807348584448,712.49,
320,236793048172355584,712.42,
1177,236567738612985856,712.3,
773,236589342818578432,712.23,
1062,236424784770523136,712.21,
999,236749549024591872,712.06,
522,236289172658724864,711.91,
1531,236481722271154176,711.85,
1479,236464680587497472,711.79,
904,236401739855048704,711.76,
1689,236545208326053888,711.69,
1161,236427810822447104,711.64,
265,236977810480582656,711.64,
373,236869861942759424,711.5,
622,236437887159635968,711.45,
953,236445350873292800,711.27,
1288,236527819337240576,711.24,
1006,236465364032573440,711.17,
840,236919515480866816,710.94,
1592,236478838204805120,710.93,
273,236423516220055552,710.9,
442,236485784672673792,710.89,
1484,236528083729387520,710.72,
221,236936910933090304,710.53,
1647,236807824315269120,710.48,
758,236862739356078080,710.35,
1160,236864267454255104,710.31,
1671,236904645255503872,710.3,
113,236946935529353216,710.19,
279,236657426740830208,710.04,
565,236489834491297792,710.03,
1307,236699701898395648,709.86,
1300,236935665015087104,709.73,
179,236397651562090496,709.53,
1255,236864393581170688,709.47,
258,236472700650393600,709.39,
1715,236508149930541056,709.29,
566,236441994335379456,709.23,
1302,236882190973538304,709.13,
1280,236823917347999744,708.32,
1483,236570033283141632,708.29,
143,236846124304457728,708.28,
657,236585663377969152,708.24,
1216,236444614810681344,708.22,
1637,236818334301577216,708.1,
585,236818188885037056,708.02,
172,236897646790840320,707.99,
1000,236805196692860928,707.99,
1023,236836312132894720,707.98,
1670,236505014201765888,707.67,
1235,236535972770627584,707.55,
1026,236421393365356544,707.54,
117,236985477022363648,707.49,
147,236599649473417216,707.47,
334,236886467456557056,707.45,
404,236945040853192704,707.28,
816,236547196174483456,707.27,
1724,236527686444912640,707.25,
